,tweet,topic_1,compound_score,positive_score,negative_score,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sentiment
29,"RT realDailyWire: Ukraine Receives Equipment They Requested From Elon Musk, Musk Responds https://t.co/aOmsPNjlkX https://t.co/mpVgEsPEAr ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
30,RT bhaksala: Ukraine is blaming the West. Russia is blaming the West. Lavanya from South Delhi is blaming India. ,Ukraine,-0.8625,0.0,0.375,Russia,0,0,0,0,0,-1
31,RT MobilePunch: Ukraine: Trudeau announces Canada ban on Russian oil imports Punch Newspapers https://t.co/lrh7w8BJr4 ,Ukraine,-0.5574,0.0,0.217,Russian,Russia,0,0,0,0,-1
32,"Although the Australian Government has asked citizens not to travel to Ukraine to fight, many Aussies are showing s https://t.co/7M3t7MV30q ",Ukraine,-0.3818,0.0,0.126,0,0,0,0,0,0,-1
33,"Although ausgov has asked citizens not to travel to Ukraine to fight, many Aussies are showing solidarity by shari https://t.co/q1peZKW7TY ",Ukraine,-0.1027,0.096,0.114,0,0,0,0,0,0,-1
34,RonFilipkowski Did Fox talk about the bowling alley in between Putin and his ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
35,"RT NadiaWhittomeMP: If your response to war in Ukraine is theyre just like us, remember that so are the people of Yemen, Syria, Kurdist ",Ukraine,-0.34,0.088,0.137,0,0,0,0,0,0,-1
36,An update on the progress of the Russian invasion of Ukraine https://t.co/KZo82oqnXt military russia ukraine war ,Ukraine,-0.2732,0.135,0.188,Russian,Russia,0,0,0,0,-1
37,putin puto calvo orejon a q te meto con la teta ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
38,RT CenteredPatriot: (2) just how close we are to being pushed over the edge by the Republican Arm of Putin amp Trump. Mark the words of a ol ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
39,"RT SheldonRothMD1: Putin Spent 8 Years Preparing for Ukraine Invasion Despite Swift Bank Sanctions, Putin Steeled for a Long Economic Fi ",Putin,-0.1511,0.0,0.081,Ukraine,0,0,0,0,0,-1
40,"RT jep: In der Ukraine kmpfen die Menschen um ihr Leben, um ihr Land, um die Demokratie. In MecklenburgVorpommern kmpft die Regierungs ",Ukraine,-0.9136,0.0,0.381,0,0,0,0,0,0,-1
41,"mtracey And what, in your opinion, does Putins conduct lend itself towards Do you think hes correct in thinking https://t.co/HHuDU1lyiW ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
42,"RT peterbakernyt: In almost every way, Putin seems to have achieved the opposite of what he ostensibly wanted. Instead of pushing the US o ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
43,RT OccupyDemocrats: BREAKING: Putins invasion backfires as the prosecutor of the International Criminal Court in The Hague announces that ,Putin,-0.5267,0.0,0.159,0,0,0,0,0,0,-1
44,"RT nextatv: Elon Musks Starlink satellites are already working over Ukraine According to Speedtest, download speeds in Kyiv are ove ",Ukraine,0.0,0.0,0.0,Kyiv,0,0,0,0,0,-1
45,India signs trade and arms deals with Russia during Putins visit to New Delhi CNN https://t.co/dQpxntw0DE ,Putin,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
46,"RT GrayMackenzie: The Ukrainian ambassador to the U.S. says Russia used a vacuum bomb in Ukraine on Monday, according to Reuters https:… ",Ukraine,-0.4939,0.0,0.138,Ukrainian,Russia,0,0,0,0,-1
47,"RT DanielFiott: Ukraine, EU (DE), NATO and partners have risen to the challenge so far and broken a few taboos on the way. Good, yet polit ",Ukraine,-0.0422,0.142,0.114,NATO,0,0,0,0,0,-1
48,RT YourAnonNews: Go to Google Maps. Go to Russia. Find a restaurant or business and write a review. When you write the review explain w ,Russia,0.0,0.0,0.0,0,0,0,0,0,0,-1
49,"Afgastur86 mirrocafort Por cierto, lo de Putin lo has sacado t . ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
50,RT OccupyDemocrats: BREAKING: Putins invasion backfires as the prosecutor of the International Criminal Court in The Hague announces that ,Putin,-0.5267,0.0,0.159,0,0,0,0,0,0,-1
51,"Et comme par hasard, personne ne parle du sort rserv aux trangers qui habitent en Ukraine et qui cherche quitt https://t.co/ja91jZ8q6f ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
52,nextatv Putin about to get memed into oblivion ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
53,"RT RepMattGaetz: If Russia wanted to destabilize Ukraine, Putin didnt need to send tanks. We couldve just sent Dr. Fauci. ",Putin,0.0,0.0,0.0,Ukraine,Russia,0,0,0,0,-1
54,RT LatestAnonPress: Anonymous message to Vladimir Putin https://t.co/eIy9YpDvM5 ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
55,"RT jihadwatchRS: Even after Russia invades Ukraine, Bidens handlers rely on Russia to solidify new Iran nuke deal https://t.co/KheGeP4Pk8… ",Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
56,"RT RussiaUSA: American in Kyiv gives firsthand account of the situation in Ukraine, calls Zelensky evil. Im worried about getting sho ",Ukraine,-0.765,0.0,0.258,Kyiv,Zelensky,Russia,0,0,0,-1
57,walterameza Este comunista es ms agueonao que Putin. Comunistas bastardos ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
58,RT spriter99880: Russian Ministry of Foreign Affairs: Those who supply Ukraine with a deadly weapon will bear the consequences ,Ukraine,-0.296,0.0,0.115,Russian,Russia,0,0,0,0,-1
59,DearAuntCrabby How much longer are you morons going to blame things on Trump. Was Russia massing on Ukraines bord https://t.co/lH7ZDofBtw ,Ukraine,-0.5719,0.0,0.207,Russia,0,0,0,0,0,-1
60,RT SpeakUp407: jkenney But youre a subscriber to Putins Christian Orthodoxy and youre an agent for GOPDomionist RW extremist. You sup ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
61,RT VeraMBergen: Heres a transcript of a Russian soldiers last text messages to his mother that Ukraines Ambassador to the UN just read ,Ukraine,0.0,0.0,0.0,Russian,Russia,0,0,0,0,-1
62,itvnews In the UK and America and around Europe everyones saying Putins losing the war in the Ukraine keep sayin https://t.co/A9BrpB4jV1 ,Putin,-0.7579,0.0,0.255,Ukraine,0,0,0,0,0,-1
63,RT AliceAvizandum: Putin has misread this so badly that now Sweden is sending Ukraine thousands of missile launchers. Sweden. The IKEA guys ,Putin,-0.6697,0.0,0.215,Ukraine,0,0,0,0,0,-1
64,RT beyerstein: Hill has noted in several interviews that Putin has been acting way out of character: https://t.co/n5YN09gMDF ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
65,"RT KyivIndependent: PM Justin Trudeau: Canada to impose new sanctions prohibiting all imports of Russian crude oil, a commodity that enr ",Kyiv,-0.7096,0.0,0.247,Russian,Russia,0,0,0,0,-1
66,RT lindyli: The food rations Putin gave his troops expired SEVEN years ago Young boys were tricked amp beaten into enlisting Hes arrested ,Putin,-0.7579,0.0,0.273,0,0,0,0,0,0,-1
67,"RT Ukraine: we will prevail over those langoliers for you, sir ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
68,"RT WCKitchen: UPDATE from the border of Ukraine 150,000 people have fledWCKs SamBloch1 is at an accommodation center where buses br ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
69,"RT Schmidtlepp: Berliner Zeitung von morgen auf Seite 4: Vermutlich kommen aus der Ukraine nicht nur gesndere (), sondern auch besser a ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
70,RT SayoP75: Este es de los vuestros.. De los comunistas.. Putin no es comunista. Como que no.. si es Ruso el partido Comunista ,Putin,-0.296,0.0,0.091,0,0,0,0,0,0,-1
71,"RT WSJ: As Russian President Vladimir Putin launched a war against Ukraine, half a world away the U.S. economy appeared to be rebounding f ",Putin,-0.5267,0.061,0.16,Ukraine,Russian,Russia,0,0,0,-1
72,Vacant and vicious: Priti Patels tonedeaf problem with Ukraine refugees https://t.co/Y8kSTL4ef8 ,Ukraine,-0.6369,0.0,0.366,0,0,0,0,0,0,-1
73,RT aastruggle: In our activism lets not forget the Africans in Ukraine facing unnecessary racism. My moot a fellow African army has been ,Ukraine,-0.5321,0.065,0.159,0,0,0,0,0,0,-1
74,"RT derinkocer: Putin bir strateji dehas deil. Yenilmez deil. lkesinde mutlak gce sahip deil. Byk ordusu olan, vasat bir diktatr. ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
75,RT khacdieu11: WhiskersNFT stand with Ukraine https://t.co/Gj4roYYX5r ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
76,RT arnacortazzo: Resources for people fleeing Ukraine with their pets. ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
77,RT Kayahanuygur: Bakan Zelensky Avrupa Birliinden Ukraynay derhal birlie kabul etmesini istedi. Fakat ABye girmek uzun ve zor bir s ,Zelensky,0.0,0.0,0.0,0,0,0,0,0,0,-1
78,Guerre en Ukraine : rencontre entre Jean Castex et les candidats llection prsidentielle https://t.co/oCk2Oo1utA via ppat49 ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
79,RT ChrisMurphyCT: Just leaving classified briefing on Ukraine crisis. A few takeaways that I can share: 1 Confirmation that the Russians ,Ukraine,-0.4404,0.099,0.184,Russian,Russia,0,0,0,0,-1
80,"RT ssrajputINC: , Ukraine 7 ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
81,its fucked how putin wants to kill the president of ukraine ,Putin,-0.8779,0.0,0.503,Ukraine,0,0,0,0,0,-1
82,"RT tesfanews: Ukraine voted AGAINST Eritreas candidacy at the UN Human Rights Council in 2018. In 2022, Ukraine sought Eritreas vote in ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
83,RT haynesdeborah: Air raid siren starting up again in Kyiv. Went to record it and saw snow has fallen on this city overnight Ukraine htt ,Ukraine,-0.3612,0.0,0.094,Kyiv,0,0,0,0,0,-1
84,RT eldiariodedross: No soy Putin pero voy a invadir tu corazn ,Putin,-0.296,0.0,0.196,0,0,0,0,0,0,-1
85,"RT HanaOGanon: I am Olena Zelensky, the wife of Ukrainian President Volodmymr Zelensky. We were married in 2003. In 2004, our daughter Ol ",Ukrainian,0.0,0.0,0.0,Zelensky,0,0,0,0,0,-1
86,RT johnsipher: And you do not think he will necessarily stop at Ukraine Hill: Of course he wont. Ukraine has become the front line in ,Ukraine,-0.296,0.0,0.084,0,0,0,0,0,0,-1
87,"RT chrisangst: SenMikeLee SpencerJCox DeidreHenderson These are the Republican Senators who stood by Donald Trump, and voted against mi ",NATO,0.0,0.0,0.0,0,0,0,0,0,0,-1
88,"RT TheInsiderPaper: JUST IN Russian forces have entered the Kherson city of Ukraine in the south, local media reports ",Ukraine,0.0,0.0,0.0,Russian,Russia,0,0,0,0,-1
89,RT ChristopherJM: Story here: War came to us on the wings of Russian cruise missiles. https://t.co/rsCn8o7kKh ,Russian,-0.5994,0.0,0.206,Russia,0,0,0,0,0,-1
90,RT renechiche: Tous ceux qui envoient des armes en Ukraine et tous ceux qui applaudissent cette folie sont entirement responsables des e ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
91,"RT CharlotteRochat: Thermobaric bombs used today in Ukraine. (Aka vacuum bomb)If you see this coming, open your mouth so your lungs dont ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
92,"RT KyivIndependent: Finland to support Ukraine with weapons and ammunition, Finnish Prime Minister Sanna Marins announced on Feb. 28. ",Ukraine,-0.0516,0.119,0.128,Kyiv,0,0,0,0,0,-1
93,RT NickPoole1: Bloody hell. Looking at a message from the Ukraine Library Association concerning the cancellation of their forthcoming con ,Ukraine,-0.8176,0.0,0.306,0,0,0,0,0,0,-1
94,imbe95 Breaking911 What a dumb question During this debacle Putin is shielded no foreign journalist are allowed. https://t.co/QS13UUlVu9 ,Putin,-0.6705,0.0,0.268,0,0,0,0,0,0,-1
95,RT leonidragozin: Zelensky signs Ukraines EU application https://t.co/TnOGExn9ce ,Ukraine,0.0,0.0,0.0,Zelensky,0,0,0,0,0,-1
96,"RT LThinkTank: RUSSIE UKRAINE Selon llyse, il existe de graves risques de voir la Russie tendre ses oprations milita ",Ukraine,-0.296,0.0,0.109,0,0,0,0,0,0,-1
97,RT SevadalAP: The Ukraine crisis had been brewing for weeks. The Govt should have anticipated and ensured safety of our students. Even n ,Ukraine,-0.3182,0.104,0.152,0,0,0,0,0,0,-1
98,AbhijitChavda This is putin s war for his delusion and ego not russia . Indo russia relation was dated back befo https://t.co/SUuYvaqChq ,Putin,-0.5994,0.0,0.17,Russia,0,0,0,0,0,-1
99,RT MaximCombes: 28 fv. 2022 J4 aprs linvasion de lUkraine par la Russie BP se dsengage du gant ptrolier russe Rosneft Shell ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
100,RT RollingStone: Louis Tomlinson has canceled his summer shows in Russia and Ukraine amid needless war. https://t.co/rHFXkCjFsz ,Ukraine,-0.5994,0.0,0.196,Russia,0,0,0,0,0,-1
101,RT oneunderscore: Quick thread: I want you all to meet Vladimir Bondarenko. Hes a blogger from Kiev who really hates the Ukrainian go ,Ukrainian,-0.4391,0.055,0.136,Kiev,0,0,0,0,0,-1
102,"RT resistendotodo: En 2015 y 2017, el Watchdog Media Institute lanz una serie de vdeos de 22 partes sobre la guerra de Maidan y Kiev con ",Kiev,0.0,0.0,0.0,0,0,0,0,0,0,-1
103,"RT grantshapps: Today Ive written to all UK ports asking them not to provide access to any Russian flagged, registered, owned, controlled ",Russian,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
104,"RT nytimes: Internet terminals sent by Elon Musk have arrived in Ukraine, according to the countrys vice prime minister. The terminals we ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
105,Imyuvaa Meshtwr70 Mujeebtalks KyivIndependent ZelenskyyUa Ukraine isnt in NATO right now are they NATO hasn https://t.co/7hirQOBzHq ,Ukraine,0.0,0.0,0.0,NATO,Kyiv,Zelensky,0,0,0,-1
106,"RT olgatokariuk: Day six of Russias war against Ukraine. Kyiv and Kharkiv under Ukrainian control, despite air and artillery strikes that ",Ukraine,-0.7506,0.0,0.252,Ukrainian,Kyiv,Russia,0,0,0,-1
107,"SophNar0747 Disney: Lets get on the Ukraine bandwagon pronto. Slave labour in China Uhh, well.... ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
108,"RT washingtonpost: Analysis: War in Ukraine enters a new phase, even more unpredictable and dangerous than the last https://t.co/MmhS40ZWWh ",Ukraine,-0.8055,0.0,0.312,0,0,0,0,0,0,-1
109,RT FLyMachabert: a cest le chanon manquant entre Covid et Ukraine ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
110,"RT telematin: Une entre de lUkraine dans lUnion europenne Les 27 ne sont pas contre, mais la procdure prendra plusieurs a ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
111,Mslm57863007 a03nn Putin bunu ewidir duwun ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
112,"RT ScottMcConnell9: Petraeus on CNBC seemed at least to recognize danger of backing Putin into corner, mentioned Russias nuclear capacity ",Putin,-0.5106,0.049,0.151,Russia,0,0,0,0,0,-1
113,"RT unclebobmartin: It aint the size of the dog in the fight, its the size of the fight in the dog. Ukraines got fight ",Ukraine,-0.7783,0.0,0.271,0,0,0,0,0,0,-1
114,RT nextatv: Officially: The procedure for reviewing Ukraines application for EU membership has started. https://t.co/jCitJkh6MW ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
115,RT SimoneSays123: Vreselijk wat er gaande is in Oekrane en ook voor de onschuldige burgers in Rusland. Wanneer je een kat (Putin) in het ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
116,"RT SevadalJH: Ukraine , ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
117,"RT COUPSURE: Ukrainian Deputy Prime Minister and Minister of Digital Transformation of Ukraine, FedorovMykhailo, posted a photo of a truc ",Ukraine,0.0,0.0,0.0,Ukrainian,0,0,0,0,0,-1
118,MKnight1984 chessninja In the meantime Putin is a crazy sob add lying to that and basically he doesnt care a https://t.co/iUiwnl5zFk ,Putin,-0.8565,0.0,0.41,0,0,0,0,0,0,-1
119,"RT CNN: As the Russian invasion of Ukraine continues, foreign students attempting to leave the country say they are experiencing racist tr ",Ukraine,-0.6369,0.0,0.206,Russian,Russia,0,0,0,0,-1
120,Makes nO sense to me that NATO is just letting Russia line up a 40 mile cargo of weapons to Ukraine capital. I can https://t.co/hXirfr9EzG ,Ukraine,-0.6249,0.0,0.195,NATO,Russia,0,0,0,0,-1
121,RT HoansSolo: Short summary of the military situation in Ukraine Russia has moved around 75 of its forces it had previously deployed a ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
122,"RT cemseymen: Zelensky 2019 yemin treninde demiti: Resmi dairelere fotorafm asmanz istemiyorum. Devlet bakan ikon, idol ya da p ",Zelensky,0.0,0.0,0.0,0,0,0,0,0,0,-1
123,RT JazzFemoral: URGENTE: banearon a Putin en Taringa ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
124,RT DeepaParent: Russia continued shelling in Kharkiv through the night. Spoke on TV9Bharatvarsh about attacks on civilians. Russia Uk ,Russia,-0.4404,0.0,0.139,0,0,0,0,0,0,-1
125,", https://t.co/1ysAuDB54l RussiaUkraineWar ",Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
126,RT ConflictsWW: UPDATE: US intel believes that Russia plans to launch a second assault on Ukraine but with much larger numbers to over ,Ukraine,-0.34,0.0,0.103,Russia,0,0,0,0,0,-1
127,"RT alantdp: No esquecer que Putin, corajoso como , est sem mscara ",Putin,-0.296,0.0,0.18,0,0,0,0,0,0,-1
128,RT monsieurnaudin: poutine ukraine guerre usa otan https://t.co/MIqVIvU5hr ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
129,PatoBullrich que el presidente explique porque compraron sputnik ms cara de menor efectividad a putin en vez de c https://t.co/eCEVHzbnrM ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
130,"RT irgarner: Heres a voice from Ukraine. Travel YouTuber Anton Ptushkin, a Russian speaker with 5.5 million subscribers, posted this he ",Ukraine,0.0,0.0,0.0,Russian,Russia,0,0,0,0,-1
131,RT bramatti: Putin o maior financiador e impulsionador da extremadireita no planeta. incrvel ver gente de esquerda passando o pano p ,Putin,-0.296,0.0,0.121,0,0,0,0,0,0,-1
132,RT AnnaZalewskaMEP: Prezydent Ukrainy ZelenskyyUa przemawia w Parlamencie Europejskim Historia pisze si na naszych oczach Uk ,Zelensky,0.0,0.0,0.0,0,0,0,0,0,0,-1
133,RT BoltaHindustan: Ukraine Ukrai ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
134,"RT PamKeithFL: If Ukraine holds, Putin will nuke them. If Ukraine falls, hell move on to Poland. If Poland holds, Putin will nuke them ",Putin,-0.6808,0.0,0.167,Ukraine,0,0,0,0,0,-1
135,RT MiddleEastEye: Ukrainian girl confronting a Russian soldier is actually Palestines Ahed Tamimi https://t.co/XcHsGXIffp https://t.co… ,Ukrainian,-0.1531,0.0,0.11,Russian,Russia,0,0,0,0,-1
136,"RT ComicBook: Sony has paused all theatrical releases in Russia, including the upcoming Morbius https://t.co/mqo0YIAA0w https://t.co/dboA… ",Russia,0.0,0.0,0.0,0,0,0,0,0,0,-1
137,Could Putin be right about neonazis in Ukraine ..The Soufan Center warned in a 2019 report that Ukraine had alr https://t.co/otjbu4Lfp3 ,Putin,-0.2732,0.0,0.1,Ukraine,0,0,0,0,0,-1
138,RT jimsciutto: Its 3:30am in Ukraine and I find myself saying prayers for what this immense Russian military convoy means for Kyiv and it ,Ukraine,0.0,0.0,0.0,Kyiv,Russian,Russia,0,0,0,-1
139,MedvedevRussiaE you mean the war the Russians have started FUCKPUTIN Ukraine PutinWarCriminal PutinHitler ,Putin,-0.5994,0.0,0.245,Ukraine,Russian,Russia,0,0,0,-1
140,"RT chessninja: Ie, if Putin attacked Lithuania amp NATO defended, Putin wouldnt escalate because, well, what did he expect Thats specious ",Putin,-0.5878,0.0,0.202,NATO,0,0,0,0,0,-1
141,"UKRAINE: Pendant ce temps, Biden inaugure le mois de lHistoire des Noirs. WHERE IS JOE BIDEN https://t.co/n3tgwqqbec ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
142,RT briantylercohen: BREAKING: Belarus joins Russia in invading Ukraine. ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
143,RT briantylercohen: BREAKING: Belarus joins Russia in invading Ukraine. ,Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
144,RT SkyNewsBreak: A Ukrainian official says at least 10 people were killed and 35 were wounded in rocket strikes on the city of Kharkiv thi ,Ukrainian,-0.7906,0.0,0.241,0,0,0,0,0,0,-1
145,"RT TobyVenables: Weve all seen Putins bizarre references to the denazification of Ukraine govt. A couple of days ago, in response, I ",Putin,-0.3182,0.0,0.108,Ukraine,0,0,0,0,0,-1
146,"RT medyaadami: Rusya Savunma Bakan, Putine nkleer birimlerin bekleme alarm grevinde olduunu ve personelini takviye ettiini syledi ",Putin,-0.34,0.0,0.13,0,0,0,0,0,0,-1
147,RT anidigital: Kiren Rijiju leaves for Slovakia to oversee evacuation of Indian Nationals stranded in Ukraine Read ANI Story https://… ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
148,"RT florencedesruol: ukraine Aucun dbat parlementaire, pas mme au niveau europen. Des dcisions tous azimuts par des excutifs dont cer ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
149,RT LorenzoTheCat: Sheltering in place as war rages in Ukraine. That is one cool cat. Photo: Lesia Smykovska. https://t.co/qVVjxa… ,Ukraine,-0.6908,0.091,0.277,0,0,0,0,0,0,-1
150,Sinong nagtanong ng opinyon ng isang duwag Sa debate nga urong ang bayag jan pa kaya sa stand ng Ukraine at Russi https://t.co/Yc74PuqDEn ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
151,RT kunpurich: Zelensky: ,Zelensky,0.0,0.0,0.0,0,0,0,0,0,0,-1
152,RT DrGaIIardo: Es fcil festejar Las fuerzas de paz de Vladimir Putin cuando nunca viste morir un pibe. https://t.co/KdU1wDFvOm ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
153,RT RedpillEire: Putin is only a puppet playing his part as the bad guy. Im seeing so called awake people being pulled in and fooled by ,Putin,-0.6486,0.06,0.204,0,0,0,0,0,0,-1
154,RT LaSER: Los expertos coinciden: Abascal agita el fantasma del comunismo para disimular la complicidad de la extrema derecha con Putin h ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
155,"RT AlertaNews: AHORA: Zelensky: Estamos luchando por la supervivencia, pero tambin estamos luchando por ser miembros iguales de Eu ",Zelensky,0.0,0.0,0.0,0,0,0,0,0,0,-1
156,RT RahulGandhi: Received the tragic news of an Indian student Naveen losing his life in Ukraine. My heartfelt condolences to his family a ,Ukraine,-0.2732,0.125,0.199,0,0,0,0,0,0,-1
157,RT ignaziocassis: LUkraine au cur de nos proccupations au Conseil des droits de lhomme. Nous devons imprativement travailler ensembl ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
158,"RT RiseofBurnol: Dear ALL LETS FACE SOME HARSH REALITY Indian govt gave notification ages ago but Indians in Ukraine, specially Kiev d ",Ukraine,-0.1322,0.078,0.1,Kiev,0,0,0,0,0,-1
159,RT 25andriy: ngukraine 2019 () . ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
160,RT ANI: Prime Minister Narendra Modi calls on President Ram Nath Kovind and briefs him on various issues including Ukraine: Sources https:… ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
161,RT ashkotak: Ukraine https://t.co/1HwPhIpYeB ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
162,"RT EuromaidanPress: Residents of Berdiansk, a seaside city captured by Russian invaders today, are not happy about their supposed libera ",Russian,-0.4585,0.0,0.143,Russia,0,0,0,0,0,-1
163,NigroGreg BYounger13 HyperionHyker The WEF deleted Putin from their website ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
164,"RT Katmyu: BREAKING: When asked about Beijings stance on Ukraine, foreign ministry spokesperson Wang Wenbin says China and Russia a ",Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
165,"RT nachomdeo: Todos creyeron que el imperio se haba terminado. Pero Putin lleg para demostrar que luego de la derrota sovitica, Rusia c ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
166,All I can say is FUCK PUTIN ,Putin,-0.6408,0.0,0.458,0,0,0,0,0,0,-1
167,eucopresident franceinfo STOP RUSSIAN AGGRESSION AGAINST UKRAINE. NATO CLOSE THE SKY OVER UKRAINE EXCLUDE RU https://t.co/piQMrCmosO ,Ukraine,-0.8176,0.0,0.395,NATO,Russian,Russia,0,0,0,-1
168,Notice Putins height compared to trump who claims to be 63 Putin is verifiably 57 no way there is 8 difference https://t.co/uNAww3oErn ,Putin,-0.296,0.0,0.099,0,0,0,0,0,0,-1
169,EuroparlEN STOP RUSSIAN AGGRESSION AGAINST UKRAINE. NATO CLOSE THE SKY OVER UKRAINE EXCLUDE RUSSIA FROM THE https://t.co/61yEain4vK ,Ukraine,-0.8176,0.0,0.378,NATO,Russian,Russia,0,0,0,-1
170,RT freddyatton: BeschlossDC dbluewave20 ANSWER theformerguy REMINDERS 1) Wikileaks is an arm of the Russian Military. 2) Trump ,Russian,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
171,RT KremlinTrolls: Russian forces appear to be using cluster bombs to destroy entire residential blocks in Kharkiv. This is a fallback tac ,Russian,-0.6597,0.0,0.221,Russia,0,0,0,0,0,-1
172,RT ISUFigure: ISU Statements on the Ukraine crisis: Remaining ISU Events 202122 season https://t.co/XjIkFVVIu6 Participation in inte ,Ukraine,-0.6249,0.0,0.204,0,0,0,0,0,0,-1
173,RT agostodel79: Da igual que Pablo Iglesias repita mil veces que Putin es un ultranacionalista y un peligroso gobernante porque la indust ,Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
174,RT PrisonPlanet: Remember when NATO imposed a no fly zone over Libya I do. It led to... The destruction of Libya The rise of ISIS ,NATO,-0.7351,0.0,0.265,0,0,0,0,0,0,-1
175,"RT EldiariodeLeuco: Bullrich, explosiva contra CFK: Seora, sus relaciones carnales con Putin nos avergenzan. Adems, la titular del PR ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
176,RT lapatina: Russia was certain this would be over in a day or two. Its day six and Ukraine still fights like hell. Good morning ,Ukraine,-0.2023,0.222,0.216,Russia,0,0,0,0,0,-1
177,"RT NBCNews: Key focus of President Bidens State of the Union address will be the U.S. response to Russias invasion of Ukraine, administr ",Ukraine,0.0,0.0,0.0,Russia,0,0,0,0,0,-1
178,RT AfricaFactsZone: Egyptians fleeing the crisis in Ukraine saying they are not being allowed into Polands border. They said the African ,Ukraine,-0.6249,0.0,0.17,0,0,0,0,0,0,-1
179,"RT LeTemps: Entre lUkraine et la Russie, le front de lhumour aussi https://t.co/ObFH86eu38 ",Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
180,RT sirotek: Ukraine https:… ,Ukraine,0.0,0.0,0.0,0,0,0,0,0,0,-1
181,RT maddenifico: Kremlin humiliated after more than 140 diplomats walk out of Russian Foreign Minister Sergei Lavrovs speech justifying Pu ,Russian,-0.5423,0.0,0.2,Russia,0,0,0,0,0,-1
182,"AProgresistaVE Nicols Maduro le expres a Vladimir Putin su firme apoyo a la operacin rusa en Ucrania, dijo el K https://t.co/9sqkWEqc1L ",Putin,0.0,0.0,0.0,0,0,0,0,0,0,-1
